SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,PE,,,,,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",,,,,Header,,Health and Physical Education - PE,PE - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/physical-education/teaching-and-learning,0
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1,,,,,UnitHeading,Unit 1 The human body in motion,,,,1
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1,,,,GeneralActivity,Paragraph,Area of Study 1: The human body in motion,,,,2
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should participate in and analyse information from a variety of practical activities to explain how the muscular and skeletal systems function and interact to produce movement, and evaluate the use of performance enhancement substances and methods.",,,,2
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Draw an outline of a human body, either on paper or glass, and identify each of the bones by placing them in their correct place",,,,4
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Participate in a game of softball or baseball; for each of the key skills (catching, batting and pitching) identify and name the major joint involved and movement that is occurring. This activity can also be connected with anatomical lever systems key knowledge",,,,5
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Participate in a game of 'Simon says' where a name of a joint movement is said and the task is to copy that movement when preceded by the words ""Simon says""",,,,6
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Photocopy, cut and laminate the names of the major muscles of the human body; using a life size outline of the human body, call out or hold up the name of one muscle at a time; the task is to identify where that muscle belongs on the body; the first student who answers correctly, takes the label and sticks it to the body; continue until all major muscles have been labelled",,,,7
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Use a web-based interactive labelling activity to revise the major bones and muscles of the human body such as,,,,8
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,The Muscular System,Use a web-based interactive labelling activity to revise the major bones and muscles of the human body such as,,,9
