SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,20,Header,Section A: Multiple-choice questions,,1
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,SubHeader,Instructions,,2
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,Instruction,Answer all questions in pencil on your Multiple-Choice Answer Sheet.,,3
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,Instruction,Choose the response that is correct or that best answers the question.,,4
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,Instruction,A correct answer scores 1; an incorrect answer scores 0.,,5
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,Instruction,Marks will not be deducted for incorrect answers.,,6
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,,A,Multiple-choice questions,,,,Instruction,No marks will be given if more than one answer is completed for any question.,,7
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,VCEPE25EQA1,A,Multiple-choice questions,1,Q1,1,MultipleChoice,"In the formula Q = SV × HR, Q represents
A. stroke volume. | B. heart rate. | C. blood pressure.
cardiac output.",,8
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,VCEPE25EQA2,A,Multiple-choice questions,2,Q2,1,MultipleChoice,"A coach who plays recorded crowd noises during practice to improve performance is implementing
A. a task constraint and simulation. | B. a task constraint and stress inoculation training. | C. an environmental constraint and stress inoculation training.
an environmental constraint and simulation.",,9
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Exam Questions,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE25ERA,VCEPE25EQA3,A,Multiple-choice questions,3,Q3,1,MultipleChoice,"During exercise, the percentage of fats being used as an energy source
A. decreases as the exercise intensity increases. | B. decreases as the exercise intensity decreases. | C. remains constant as the exercise intensity decreases.
increases as the exercise intensity increases.",,10
