SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA1,VCEHHDERA,ExaminerCommentary,Question 1a,,"Students could have included characteristics of social health and wellbeing such as:
relationships with family and friends
the ability to adapt to different social situations
a supportive well-functioning family.
Students needed to demonstrate an understanding that the term ‘dynamic’ means changing.",,1
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA1,VCEHHDERA,StudentResponse,Question 1a,,,"The following is an example of a high-scoring response:
As shown in this sample response, it is important to follow the expectations regarding the use of abbreviations as outlined on page 11 of the VCE Health and Human Development 2025 Frequently asked questions, available on the VCE Health and Human Development study page of the VCAA website. The term should first be written out in full, with the abbreviation then noted in brackets, which can then be used for the remainder of the question.",2
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA1,VCEHHDERA,ExaminerCommentary,Question 1b,,"To achieve full marks, students needed to show how physical health and wellbeing impacts on mental health and wellbeing, as well as how mental health and wellbeing impacts on physical health and wellbeing. Marks were awarded for showing the connection between the two dimensions rather than listing or naming the characteristics for each dimension. For example, the text in bold in the following examples shows the connection between the dimensions of health and wellbeing:
When someone is free from disease or injury, they can go to school and learn new skills, increasing their levels of self-confidence in their own abilities.
When they are confident, they are more likely to want to join a sporting team or a gym, which could help improve their levels of physical fitness.",,3
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA1,VCEHHDERA,StudentResponse,Question 1b,,,The following is an example of a high-scoring response:,4
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,ExaminerCommentary,Question 2a,,"Similarities include:
both guides contain a visual representation of the five food groups
the proportions of the five food groups recommended are the same for both guides
both guides promote the importance of drinking water.
Differences include:
the Aboriginal and Torres Strait Islander Guide to Healthy Eating includes cultural food / kangaroo / damper, which the Australian Guide to Healthy Eating does not
the Aboriginal and Torres Strait Islander Guide to Healthy Eating is in muted/earthy tones compared to the Australian Guide to Healthy Eating, which is blue and green.
When outlining similarities, it was acceptable to write ‘both guides’ or ‘both’. In relation to the differences, students were unable to access marks if they did not compare the two guides.
It should be noted that abbreviating Aboriginal and Torres Strait Islander is considered culturally inappropriate. While students were not penalised where general VCAA abbreviation conventions were followed, students should be aware that best practice is to avoid abbreviating this term.
For more information regarding the VCAA’s position on the use of inclusive and respectful language, see the Australian Government guidance.",,5
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,LimitedStrategies,Question 2a,,"Common issues included:
stating that both guides indicate the amount of food that should be consumed in each group, where actually both guides specify only the proportion of each food group that should make up the overall diet
not making a comparison to indicate the difference between the two guides.",,6
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,StudentResponse,Question 2a,,,The following is an example of a high-scoring response:,7
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,ExaminerCommentary,Question 2b,,"Environmental challenges could include:
housing environment (including kitchen / storage / heating facilities)
geographic location (living in a remote or metropolitan area)
workplaces / work environment
access to physical resources (groceries, fast food outlets, school canteen)
transport
climate (storage life of food)
weather (impacting growth of food)
infrastructure / built environment.",,8
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,LimitedStrategies,Question 2b,,"A common issue was to simply refer to a decrease in ‘healthy eating’ without reference to a specific nutrient or type of food. In discussing nutritional change, students needed to refer to specific nutritional and/or dietary change.",,9
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,ExaminerCommentary,Question 2b,,"For example, an increase or a decrease in the consumption of:
foods high in sugar
foods high in salt
foods high in saturated fat
processed foods
fruits and vegetables
foods high in fibre
energy-dense foods.",,10
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA2,VCEHHDERA,StudentResponse,Question 2b,,,The following is an example of a high-scoring response:,11
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,ExaminerCommentary,Question 3a,,"Examples of accepted answers include:
an individual’s own perception of their health (at a given point in time)
a subjective measurement of health status where an individual rates their own health
an individual’s own assessment of their overall health and wellbeing collected using survey data.",,12
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,ExaminerCommentary,Question 3b,,"Students were required to identify a variation in the self-assessed health status of population A compared to population B. In stating the variation, students needed to refer to both population groups.
Students also needed to accurately use data to support the variation identified.",,13
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,LimitedStrategies,Question 3b,,"Common issues included:
only referring to one population group
not using the correct unit (percentage) when referring to the data.",,14
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,StudentResponse,Question 3b,,,The following is an example of a high-scoring response:,15
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,ExaminerCommentary,Question 3c,,"Students needed to:
identify two sociocultural factors
describe how each factor could influence health
describe how they could lead to the variation in self-assessed health status outlined in part b.",,16
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,LimitedStrategies,Question 3c,,A common issue was to only mention one population group. Students needed to refer to both population groups in order to focus on the variation between the two population groups.,,17
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,ExaminerCommentary,Question 3c,,"Sociocultural factors could include:
socioeconomic status
income
education
occupation
employment status
social networks (family, peers, etc.)
social exclusion (discrimination based on gender, culture, religion, etc.)
social isolation
cultural background
food security
early life experiences
access to health care
supply chains
commercial factors
packaging and labels.",,18
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,StudentResponse,Question 3c,,,The following is an example of a high-scoring response:,19
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA3,VCEHHDERA,EnhancedStrategies,Question 3c,,The following are extracts from high-scoring responses:,,20
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,ExaminerCommentary,Question 4a,,"Students needed to link smoking/vaping to either the dimensions of health and wellbeing (physical, social, mental, emotional or spiritual) and/or a measure of health status.
Students needed to use different health outcomes for each example.",,21
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,LimitedStrategies,Question 4a,,"Common issues included:
responses that were generic, such as ‘smoking increases morbidity’ or ‘smoking increases incidence’. Students needed to provide a context, such as ‘smoking increases morbidity from lung cancer’ or ‘smoking increases the incidence of cardiovascular disease’
referring to an impact on a health status measure but not stating whether the impact was an increase or decrease: for example, ‘impacting life expectancy’. To access marks students needed to indicate that life expectancy can be decreased by smoking/vaping.",,22
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,StudentResponse,Question 4a,,,The following is an example of a high-scoring response:,23
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,ExaminerCommentary,Question 4b,,"Students needed to demonstrate a deep understanding of how their selected initiative reflected the social model of health by explaining how the initiative aligned with one or more of the following aspects of the model:
the model targets the broader determinants of health (environmental and sociocultural factors)
the model focuses on the impact of lifestyle-based disease
the model focuses on health promotion and prevention through policies and education
the model targets whole communities
the model addresses inequities in health status
the Ottawa Charter for Health Promotion acts as an example for the enactment of the social model of health.
Many students used specific examples of initiatives, such as the Quit program or specific government policies relating to smoking and/or vaping, which were accepted but not required (see pages 7 and 8 of the VCE Health and Human Development 2025 Frequently asked questions for expectations around health-promotion programs). Other students used more general examples, such as use of social media or education programs to raise awareness, which were also accepted.",,24
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,StudentResponse,Question 4b,,,The following is an example of a high-scoring response:,25
