SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,TextName,TextAuthor,TextQuote,ExamQuestion,ImageRef,Sequence
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,60,Header,VCE English Examination - Tuesday 28 October 2025,,,,,,,1
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Reading time: 15 minutes: 9.00 am to 9.15 am,,,,,,,2
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Writing time: 3 hours: 9.15 am to 12.15 pm,,,,,,,3
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,An English and/or bilingual printed dictionary,,,,,,,4
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Task Book of 20 pages,,,,,,,5
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Answer Book,,,,,,,6
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Write your responses in English.,,,,,,,7
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,Follow all instructions on your Answer Book.,,,,,,,8
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,Instruction,You may keep this Task Book.,,,,,,,9
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,,,,,,SubHeader,Contents,,,,,,,10
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,A,,,,20,Instruction,"Section A (1 question, 20 marks)",,,,,,,11
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,B,,,,20,Instruction,"Section B (1 question, 20 marks)",,,,,,,12
