ModCode,Domain,SubDomain,TaskType,ModificationType,AtLevel,PriorityFocus,Description,Explanation,Sequence
AM-WRITE-G01,writing,general,general,alternative,,,Speak response aloud (record for assessment),"Writing is a complex task, involving TECHNICAL SKILLS such as letter and word formation, spelling, grammer, tense, punctuation, and editing as well as STRATEGIC SKILLS  such as researching and sythesising ideas, structure appropriate to genre, understanding of purpose and audience, and STYLISTIC SKILLS such as vocabulary, clarity of message, storytelling, engagement of readers, 'voice'",1
AM-WRITE-G02,writing,general,general,support_academic,,,Vocabulary lists / word banks / technical definitions,"Writing is a complex task, involving TECHNICAL SKILLS such as letter and word formation, spelling, grammer, tense, punctuation, and editing as well as STRATEGIC SKILLS  such as researching and sythesising ideas, structure appropriate to genre, understanding of purpose and audience, and STYLISTIC SKILLS such as vocabulary, clarity of message, storytelling, engagement of readers, 'voice'",2
AM-WRITE-G03,writing,general,general,support_physical,,,"Pencil / pens grips, wrist supports","Writing is a complex task, involving TECHNICAL SKILLS such as letter and word formation, spelling, grammer, tense, punctuation, and editing as well as STRATEGIC SKILLS  such as researching and sythesising ideas, structure appropriate to genre, understanding of purpose and audience, and STYLISTIC SKILLS such as vocabulary, clarity of message, storytelling, engagement of readers, 'voice'",3
AM-WRITE-G04,writing,general,general,alternative,,,Talk to text (relies on clear speech & the ability to proofread),The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as writers.,4
AM-WRITE-G05,writing,general,general,support_academic,,,Writing scaffolds - digital or physical - specific to genre or task,The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as writers.,5
AM-WRITE-G06,writing,general,general,support_physical,,,Slanted boards,The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as writers.,6
AM-WRITE-G07,writing,general,general,alternative,,,Typing in lieu of handwriting,"For students who struggles with writing, the hurdle may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",7
AM-WRITE-G08,writing,general,general,support_academic,,,Process checklists (task specific),"For students who struggles with writing, the hurdle may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",8
AM-WRITE-G09,writing,general,general,support_physical,,,Specific paper - unlined (to reduce the load of modifying handwriting to fit a given space / angle /restriction to linear thinking,"For students who struggles with writing, the hurdle may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",9
AM-WRITE-G10,writing,general,general,alternative,,,Communication devices,"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",10
AM-WRITE-G11,writing,general,general,support_academic,,,Visual examples,"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",11
AM-WRITE-G12,writing,general,general,support_physical,,,"Whiteboard or other paper alternatives (can be a sensory barrier, relate to how smoothly the 'pen' glides across the surface etc, or have a percieved connection to how easily mistakes can be erased - perfectionism)","Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",12
AM-WRITE-G13,writing,general,general,support_academic,,,Extra time,"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",13
AM-WRITE-G14,writing,general,general,support_physical,,,Word spacers,"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",14
AM-WRITE-G15,writing,general,general,support_academic,,,Reduced word limit (where evidence of understanding is maintained),"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",15
AM-WRITE-G16,writing,general,general,support_physical,,,Rest / movement breaks,"Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",16
AM-WRITE-G17,writing,general,general,support_academic,,,"Annotated, worked examples","Those with dysgraphia (Specific Learning Disorder for WRITING) struggle with the physical and cognitive aspects of writing, leading to messy or slow handwriting, poor spelling, difficulty organizing thoughts on paper, grammar issues, and trouble putting ideas into coherent sentences, despite often having strong verbal skills. Key struggles include letter formation, spacing, grammar, spelling, punctuation, and organizing ideas. The impacts of these struggles flow into many curriculum areas, and should not be viewed as a 'iteracy' or 'English' problem.",17
AM-WRITE-P18,writing,paragraph_answers,specific,alternative,yes,content,Speak response aloud & record. May be somewhat disjointed or out of order but provides the level of detail expected for a paragraph.,"Writing in paragraphs requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to a paragraph and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",18
AM-WRITE-P19,writing,paragraph_answers,specific,alternative,no,content,Single word / short answer,"Writing in paragraphs requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to a paragraph and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",19
AM-WRITE-P20,writing,paragraph_answers,specific,alternative,yes,constructing,"Speak aloud & record. Should be in the structure expected for a written paragraph, show evidence of sentences / phrasing AND provide the appropriate level of detail","Writing in paragraphs requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to a paragraph and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",20
AM-WRITE-P21,writing,paragraph_answers,specific,alternative,yes,content,Dot points,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",21
AM-WRITE-P22,writing,paragraph_answers,specific,alternative,no,content,Multiple choice questions,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",22
