FrameworkCode,Type,Category,Modification,AtLevel,Explanation,ContentType,Sequence
DF-DEF-GEN-01,general,,,,DIFFERENTIATION and MODIFICATION are overarching terms that can represent both adjustments and accommodations in teaching and learning.,Definition,1
DF-DEF-ACC-01,accommodation,,"An accommodation allows a student to work AT LEVEL in ways that may not be conventional or 'usual' but support the student's specific needs as they access the curriculum. Accommodations may be academic, but they also may be environmental or behavioural. Also known as 'adaptions'.",TRUE,Definition - accommodation keeps student at curriculum level,Definition,2
DF-DEF-ADJ-01,adjustment,,An adjustment inherently changes the task to meet a student at their point of need when they are unable to work at level. Also known as 'modifications' ,FALSE,Definition - adjustment modifies curriculum level expectations,Definition,3
DF-ACA-ACC-01,accommodation,academic,Using a graphic organiser before writing to support organisation,TRUE,Accommodation - student works at grade level with support,Strategy,1
DF-ACA-ADJ-01,adjustment,academic,Only using the graphic organiser and not submitting the 'writing piece',FALSE,Adjustment - student works below grade level expectations,Strategy,1
DF-ACA-ACC-02,accommodation,academic,"Typing on a laptop instead of handwriting when spelling, grammar, handwriting ARE NOT being assessed (or these functions are turned off)",TRUE,Accommodation - student works at grade level with support,Strategy,2
DF-ACA-ADJ-02,adjustment,academic,"Typing on a laptop instead of handwriting when spelling, grammar, handwriting ARE being assessed, and these functions are available",FALSE,Adjustment - student works below grade level expectations,Strategy,2
DF-ACA-ACC-03,accommodation,academic,Using a scribe who writes purely as directed by the student when spelling and handwriting ARE NOT being assessed,TRUE,Accommodation - student works at grade level with support,Strategy,3
DF-ACA-ADJ-03,adjustment,academic,"Using a scribe who makes suggestions, infers meaning, edits for/corrects grammar, tense and other features",FALSE,Adjustment - student works below grade level expectations,Strategy,3
DF-ACA-ACC-04,accommodation,academic,Responding to questions verbally to demonstrate understanding where writing processes ARE NOT being assessed (e.g. I can verbally answer a question about how the water cycle works if the teacher wants to know if I have understood it),TRUE,Accommodation - student works at grade level with support,Strategy,4
DF-ACA-ADJ-04,adjustment,academic,Responding to questions verbally where writing processes ARE being assessed (e.g. I can answer verbally to show that I know the content but what is actually being assessed is my ability to write a well structured paragraph on the topic),FALSE,Adjustment - student works below grade level expectations,Strategy,4
DF-ACA-ACC-05,accommodation,academic,"Checklists and sequencing visuals to support general organisation of materials, information or task",TRUE,Accommodation - student works at grade level with support,Strategy,5
