SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,,A,Classical expressions,,,,Header,Section A: Classical expressions,,1
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,,A,Classical expressions,,,,SubHeader,Instructions,,2
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,,A,Classical expressions,,,,Instruction,Write your responses in English.,,3
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA1,A,Classical expressions,1,Q1,20,Question,"The epic tradition: Homer, The Iliad, Book 22
Refer to pages 2-3 in the Stimulus Book when responding to this question.",,4
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA1,A,Classical expressions,1a,Q1a,2,SubQuestion,Outline the events that take place immediately after this extract.,,5
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA1,A,Classical expressions,1b,Q1b,4,SubQuestion,Describe how Achilles is depicted in this extract. ,,6
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA1,A,Classical expressions,1c,Q1c,4,SubQuestion,Explain the techniques used by Homer to create pathos in this extract.,,7
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA1,A,Classical expressions,1d,Q1d,10,SubQuestion,"Using evidence from this extract and Book 22 as a whole, analyse Homer's
exploration of the role of the gods.",,8
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA2,A,Classical expressions,2,Q2,20,Question,"The epic tradition: Virgil, The Aeneid, Book 12
Refer to page 4 in the Stimulus Book when responding to this question.",,9
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA2,A,Classical expressions,2a,Q2a,2,SubQuestion,Outline the events that take place immediately before this extract.,,10
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA2,A,Classical expressions,2b,Q2b,4,SubQuestion,Describe how Turnus is depicted in this extract. ,,11
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA2,A,Classical expressions,2c,Q2c,4,SubQuestion,Explain the techniques used by Virgil to create tension in this extract. ,,12
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA2,A,Classical expressions,2d,Q2d,10,SubQuestion,"Using evidence from this extract and Book 12 as a whole, analyse Virgil's
characterisation of Aeneas. ",,13
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA3,A,Classical expressions,3,Q3,20,Question,"Material culture: The Parthenon
Refer to page 5 in the Stimulus Book when responding to this question.",,14
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA3,A,Classical expressions,3a,Q3a,2,SubQuestion,Identify the figures in the image. ,,15
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA3,A,Classical expressions,3b,Q3b,5,SubQuestion,Identify and explain the techniques used to create the relief in the image. ,,16
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA3,A,Classical expressions,3c,Q3c,5,SubQuestion,Describe the myth depicted in the image. Explain why this myth was chosen. ,,17
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA3,A,Classical expressions,3d,Q3d,8,SubQuestion,"Analyse how the location and construction of the Parthenon as a whole reinforced
Classical Athenian ideas and values.",,18
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA4,A,Classical expressions,4,Q4,20,Question,"Material culture: The Colosseum
Refer to page 6 in the Stimulus Book when responding to this question.",,19
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA4,A,Classical expressions,4a,Q4a,2,SubQuestion,Identify the architectural features marked A and B on the image. ,,20
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA4,A,Classical expressions,4b,Q4b,5,SubQuestion,Identify and explain the techniques used to construct the Colosseum. ,,21
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA4,A,Classical expressions,4c,Q4c,5,SubQuestion,Explain Vespasian's reasons for building the Colosseum. ,,22
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU3AS1,VCECSU3AS2",VCECS25ERA,VCECS25EQA4,A,Classical expressions,4d,Q4d,8,SubQuestion,Analyse the social function of the games held in the Colosseum.,,23
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,,B,Classical perspectives,,,,Header,Section B: Classical perspectives,,1
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,,B,Classical perspectives,,,,SubHeader,Instructions,,2
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,,B,Classical perspectives,,,,Instruction,Write your response in English.,,3
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB1,B,Classical perspectives,1,Q1,40,Question,"Aeschylus, Prometheus Bound and Plato, Apology
'Prioritising principles comes at great personal cost to the individual.'
Evaluate this statement using evidence from the works studied this year.",,4
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB2,B,Classical perspectives,2,Q2,40,Question,"Aeschylus, Prometheus Bound and Plato, Apology
'Breaking the rules can never be justified.'
Evaluate this statement using evidence from the works studied this year.",,5
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB3,B,Classical perspectives,3,Q3,40,Question,"Euripides, The Bacchae and Ovid, Metamorphoses
'Change is inevitable, but identities are fixed.'
Evaluate this statement using evidence from the works studied this year.",,6
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB4,B,Classical perspectives,4,Q4,40,Question,"Euripides, The Bacchae and Ovid, Metamorphoses
'Males act only for their own benefit.'
Evaluate this statement using evidence from the works studied this year.",,7
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB5,B,Classical perspectives,5,Q5,40,Question,"Aristophanes, Lysistrata and Thucydides, History of the Peloponnesian War
'In war, there is always more lost than gained.'
Evaluate this statement using evidence from the works studied this year.",,8
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB6,B,Classical perspectives,6,Q6,40,Question,"Aristophanes, Lysistrata and Thucydides, History of the Peloponnesian War
'Strong leadership is of the greatest importance.'
Evaluate this statement using evidence from the works studied this year.",,9
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB7,B,Classical perspectives,7,Q7,40,Question,"Livy, The Rise of Rome and Tacitus, The Annals of Imperial Rome
'Ancient authors presented Rome as entirely corrupt.'
Evaluate this statement using evidence from the works studied this year.",,10
Humanities,Classical Studies,,,Year 12,Final Exam,Exam Questions,2025,"VCECSU4AS1,VCECSU4AS2",VCECS25ERB,VCECS25EQB8,B,Classical perspectives,8,Q8,40,Question,"Livy, The Rise of Rome and Tacitus, The Annals of Imperial Rome
'Hierarchy must be preserved in ancient Rome.'
Evaluate this statement using evidence from the works studied this year.
Indicate the number of the question you are answering in the box.
Extra space for responses
Clearly number all responses in this space.
If you use any additional Question and Answer Books to complete your responses, write your student
number on the front cover. At the end of the examination, place the additional Question and Answer
Books inside the front cover of the first Question and Answer Book.
Assessment criteria for Section
The essay will be assessed against the following criteria:
•	 knowledge of the two classical works, and their relationships to their socio-historical
contexts and the classical concern
•	 analysis of key ideas and the features and techniques used to explore these ideas in
the two classical works
•	 construction of a comparative argument in response to a topic, with a focus on the
comparison of key ideas and the features and techniques used to explore these ideas
•	 use of relevant evidence
Victorian Curriculum and Assessment Authority 2025
Classical Studies
Stimulus Book
VCE Examination - Wednesday 5 November 2025
Contents
pages
The epic tradition: Homer, The Iliad, Book 22 
2-3
The epic tradition: Virgil, The Aeneid, Book 12 
Material culture: The Parthenon 
Material culture: The Colosseum 
You may keep this Stimulus Book.
VCAA 2025
Classical expressions - The epic tradition
This stimulus relates to Question 1.
Homer, The Iliad, Book 22
Translated by Robert Fagles with an introduction and notes by Bernard Knox, Penguin Classics, 1998
Past these they racedʹ one escapingʹ one in pursuit
[...]
endless as in a dream . . .
Due to copyright restrictions, the
VCAA is unable to reproduce
the full passage when this
examination is published on
the VCAA website. Instead, the
opening and closing words of the
passage have been provided.
Stimulus Book 2025 VCE Classical Studies
Due to copyright restrictions, the
VCAA is unable to reproduce
the full passage when this
examination is published on
the VCAA website. Instead, the
opening and closing words of the
passage have been provided.
Classical expressions - The epic tradition
This stimulus relates to Question 2.
Virgil, The Aeneid, Book 12
Translated and with an introduction by David West, Penguin Classics, 2003 (revised edition)
As he faltered the deadly spear of Aeneas flashed. His eyes
[...]
left him with a groan, fleeing in anger down to the shades.
Due to copyright restrictions, the
VCAA is unable to reproduce
the full passage when this
examination is published on
the VCAA website. Instead, the
opening and closing words of the
passage have been provided.
Stimulus Book 2025 VCE Classical Studies
Classical expressions - Material culture
This stimulus relates to Question 3.
The Parthenon
Source: © The Trustees of the British Museum; shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0
International (CC BY-NC-SA 4.0)
End of Stimulus Book
Classical expressions - Material culture
This stimulus relates to Question 4.
The Colosseum
Source: IanDagnall Computing/Alamy Stock Photo
Stimulus Book 2025 VCE Classical Studies
Victorian Curriculum and Assessment Authority 2025",,11
