SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,,ALL,All questions,,,75,Header,All questions,,1
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL1,ALL,All questions,1,Q1,19,Question,"Work: 'Let's Go to the Beach'
Composer/Creator: Banoffee
Performer: Banoffee
Album: Banoffee (Two Bright Lakes, 2014)
First playing (1′28″) - 15 seconds of silence
Second playing (1′28″) - 30 seconds of silence
Third playing (1′28″) - 1 minute of silence
Fourth playing (1′28″) - 1 minute of silence
Fifth and final playing (1′28″) - 2 minutes 30 seconds of silence
The structure of this excerpt could be described as follows.
Time code
Section
Description
introduction
verse
chorus",,2
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL1,ALL,All questions,1a,Q1a,3,SubQuestion,Identify the first three instruments/sound sources in the order in which they enter. ,,3
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL1,ALL,All questions,1b,Q1b,6,SubQuestion,Describe three ways repetition is used throughout the excerpt.,,4
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL1,ALL,All questions,1c,Q1c,10,SubQuestion,"Select two elements of music from the list below and explain how each is used to
create variation.
•	 texture
•	 duration
•	 tone colour ",,5
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL2,ALL,All questions,2,Q2,20,Question,"Work: Symphony No. 3 in C minor, Op. 78 'Organ Symphony': IV. Maestoso
Composer/Creator: Camille Saint-Saëns
Performers: Chicago Symphony Orchestra
Conductor: Daniel Barenboim
Organist: Gaston Litaize
Album: Saint-Saëns: Symphony No. 3 'Organ' (Deutsche Grammophon, 1976)
First playing (2′03″) - 15 seconds of silence
Second playing (2′03″) - 30 seconds of silence
Third playing (2′03″) - 1 minute of silence
Fourth playing (2′03″) - 1 minute of silence
Fifth and final playing (2′03″) - 2 minutes 30 seconds of silence
The structure of this excerpt could be described as follows.
Time code
Section
Instrumentation
orchestra plus featured instrument
orchestra plus featured instruments 1 and
orchestra plus featured instrument
layered entries",,6
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL2,ALL,All questions,2a,Q2a,3,SubQuestion,"i.	 Identify featured instrument 1 in Sections 1, 2 and 3.",,7
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL2,ALL,All questions,2b,Q2b,4,SubQuestion,"Describe the string melody in Section 2.
In your response, you may consider concepts of melody such as intervals, contour,
tonality, range, phrasing and register.",,8
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL2,ALL,All questions,2c,Q2c,4,SubQuestion,Describe the texture in Section 4.,,9
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL2,ALL,All questions,2d,Q2d,9,SubQuestion,"Using the table below, select three elements of music and discuss how each element
is used to create contrast between Section 3 and one other section.
You may not discuss the same element more than once.
You may discuss the same section - 1, 2 or 4 - more than once.",,10
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL3,ALL,All questions,3,Q3,18,Question,"Work: 'Home at Last'
Composers/Creators: Walter Becker and Donald Fagen
Performers: Steely Dan
Album: Aja (ABC Records, 1977)
First playing (1′32″) - 15 seconds of silence
Second playing (1′32″) - 30 seconds of silence
Third playing (1′32″) - 1 minute of silence
Fourth playing (1′32″) - 1 minute of silence
Fifth and final playing (1′32″) - 2 minutes 30 seconds of silence
The structure of this excerpt could be described as follows.
Time
code
Section
Description
Instrumentation
verse
lead vocals, rhythm section (drums,
piano, vibraphone, bass, guitar,
keyboard), horns (saxophones, brass)
chorus
lead vocals, backing vocals, rhythm
section, horns
interlude
rhythm section, guitar, horns
transition
rhythm section, synthesiser, horns
synthesiser solo
synthesiser, rhythm section",,11
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL3,ALL,All questions,3a,Q3a,2,SubQuestion,"In Section 2/chorus, the main melodic material is delivered by the lead vocals.
Identify two other melodic instruments in this section.",,12
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL3,ALL,All questions,3b,Q3b,4,SubQuestion,Describe two roles of the guitar in Section 3/interlude.,,13
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL3,ALL,All questions,3c,Q3c,12,SubQuestion,"Explain how duration (rhythm) and pitch (harmony) are used to create transition
between Sections 3 and 5.
In your response, you may refer to other elements of music.",,14
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL4,ALL,All questions,4,Q4,18,Question,"Work: 'Aey Nehin'
Composer/Creator: Arooj Aftab
Performers: Arooj Aftab, Petros Klampanis, Gyan Riley, Kaki King, Maeve Gilchrist,
Jamey Haddad
Album: Night Reign (Verve Records, 2024)
First playing (1′26″) - 15 seconds of silence
Second playing (1′26″) - 30 seconds of silence
Third playing (1′26″) - 1 minute of silence
Fourth playing (1′26″) - 1 minute of silence
Fifth and final playing (1′26″) - 2 minutes 30 seconds of silence
The structure of this excerpt could be described as follows.
Time
code
Section
Description
Instrumentation
verse
vocal solo with instrumental
accompaniment
instrumental
instrumental solos",,15
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL4,ALL,All questions,4a,Q4a,3,SubQuestion,Describe the use of articulation in Section 1/verse.,,16
Performing Arts,Music,COM,Units 3 and 4 Music composition,Year 12,Final Exam,Exam Questions,2025,,VCEMUCOM25ERALL,VCEMUCOM25EQALL4,ALL,All questions,4b,Q4b,15,SubQuestion,"Discuss how character is created throughout this excerpt.
In your response, refer to repetition and two elements of music from the list below.
•	 texture
•	 dynamics
•	 pitch
•	 tone colour
•	 duration",,17
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,,A,Listening and interpretation,,,20,Header,Section A: Listening and interpretation,,1
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,,A,Listening and interpretation,,,,SubHeader,Instructions,,2
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,,A,Listening and interpretation,,,,Instruction,Answer all questions in pen or pencil in the spaces provided.,,3
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,,A,Listening and interpretation,,,,Instruction,Write your responses in English.,,4
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA1,A,Listening and interpretation,1,Q1,8,Question,"This question relates to an excerpt from the work 'Young Men'.
Work: 'Young Men'
Composers/Creators: David Bird and Alvin Manfong
Performers: Mulga Bore Hard Rock (2024)
The excerpt will be played four times. There will be silent working time after each playing.
First playing (1′24″) - 30 seconds of silence
Second playing (1′24″) - 1 minute of silence",,5
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA1,A,Listening and interpretation,1a,Q1a,4,SubQuestion,Describe the use of repetition and variation within this excerpt.,,6
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA1,A,Listening and interpretation,1,Q1,,MidQuestionContext,"Third playing (1′24″) - 1 minute of silence
Fourth and final playing (1′24″) - 2 minutes of silence",,7
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA1,A,Listening and interpretation,1b,Q1b,4,SubQuestion,Explain how the style is created through tone colour and texture within this excerpt.,,8
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA2,A,Listening and interpretation,2,Q2,12,Question,"There are two parts to Question 2, using two different interpretations of this same work.
Interpretation
Work: 'Such Great Heights'
Composers/Creators: The Postal Service
Performers: The Postal Service
Album: Give Up (Sub Pop Records, 2003)
Interpretation
Work: 'Such Great Heights'
Composers/Creators: The Postal Service
Performers/Arrangers: Streetlight Manifesto
The excerpts will be played three times. Interpretation A will be played, followed by
Interpretation B. There will be silent working time after each playing.
First playing of Interpretation A (1′24″) - 30 seconds of silence
First playing of Interpretation B (1′08″) - 30 seconds of silence
Second playing of Interpretation A (1′24″) - 1 minute of silence
Second playing of Interpretation B (1′08″) - 1 minute of silence
Third and final playing of Interpretation A (1′24″) - 1 minute of silence
Third and final playing of Interpretation B (1′08″) - 1 minute of silence",,9
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA2,A,Listening and interpretation,2a,Q2a,4,SubQuestion,Identify two instruments / sound sources in the introduction of each interpretation. ,,10
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERA,VCEMUCON25EQA2,A,Listening and interpretation,2b,Q2b,8,SubQuestion,"Discuss how articulation and rhythm have been used in each interpretation to create
two distinct moods. ",,11
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,,B,Music language,,,40,Header,Section B: Music language,,1
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,,B,Music language,,,,SubHeader,Instructions,,2
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,,B,Music language,,,,Instruction,Answer all questions in pen or pencil in the spaces provided.,,3
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,,B,Music language,,,,Instruction,Write your responses in English.,,4
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB3,B,Music language,3,Q3,4,Question,"Listen to the following two intervals. Each interval may be played harmonically and/or
melodically, ascending and/or descending.
First playing - 5 seconds of silence
Second and final playing - 5 seconds of silence",,5
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB3,B,Music language,3a,Q3a,2,SubQuestion,Identify the size and the quality of each interval.,,6
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB3,B,Music language,3b,Q3b,2,SubQuestion,"Document the following intervals by either writing the letter names on the DAW graph
or drawing the notes on the staff.
You will now have one minute to complete part b.",,7
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB3,B,Music language,3,Q3,,MidQuestionContext,"1. Augmented 4th below F# given
2. Perfect 5th above Bb given",,8
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB4,B,Music language,4,Q4,4,Question,"Listen to the following four scales and/or modes. Each scale or mode will be played twice,
ascending and/or descending.
First playing - 5 seconds of silence
Second and final playing - 5 seconds of silence",,9
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB4,B,Music language,4a,Q4a,2,SubQuestion,"Circle the scale and/or mode below that is played twice, ascending and/or descending.",,10
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB4,B,Music language,4,Q4,,MidQuestionContext,"1.	 blues major scale minor pentatonic phrygian mixolydian
2.	 blues major scale minor pentatonic phrygian mixolydian",,11
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB4,B,Music language,4b,Q4b,2,SubQuestion,Identify the scale and/or mode.,,12
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB5,B,Music language,5,Q5,9,Question,"Listen to the following excerpt.
Work: 'From the Start'
Composer/Creator: Laufey and Spencer Stewart
Performer: Laufey
Album: Bewitched (AWAL, 2023)
The excerpt will be played six times, with silent working time after each playing.
First playing - 20 seconds of silence
Second playing - 20 seconds of silence
Third playing - 20 seconds of silence
Fourth playing - 20 seconds of silence
Fifth playing - 10 seconds of silence
Sixth and final playing - 30 seconds of silence",,13
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB5,B,Music language,5a,Q5a,8,SubQuestion,"Document the missing vocal part by either drawing the notes on the staff or writing
letter names in the empty boxes provided to represent the pitch being sung.",,14
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB5,B,Music language,5b,Q5b,1,SubQuestion,Circle the correct rhythmic feel played for this excerpt.,,15
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB6,B,Music language,6,Q6,4,Question,"Listen to the following four triads/chords. Each triad/chord is in root position and will be played twice in
the following order: block harmony - melodically - block harmony. There will be silent working time after
each playing.
Identify the quality of each triad/chord.
First playing - 5 seconds of silence
Second and final playing - 5 seconds of silence",,16
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB7,B,Music language,7,Q7,3,Question,"Listen to the following excerpt containing two common chord progressions. The excerpt will be played
three times, with silent working time after each playing. A four-beat count-in will be provided.
Using Roman numerals, identify the missing chords in bars 2, 5 and 6 in the grid below.
First playing - 5 seconds of silence
Second playing - 5 seconds of silence
Third and final playing - 10 seconds of silence
Bar
Chord",,17
Performing Arts,Music,CON,Units 3 and 4: Music contemporary performance,Year 12,Final Exam,Exam Questions,2025,,VCEMUCON25ERB,VCEMUCON25EQB8,B,Music language,8,Q8,4,Question,"Identify the letter names of the notes that belong to the following triads/chords in root position. You must
include all notes of the triad/chord, including the bass note. For example, C dominant 7th - C E G Bb.
You have two minutes to complete this question.
1.	 E minor triad
2.	 Bb major 7th
3.	 A power chord
4.	 F# half diminished 7th",,18
